complaint_text,category,subcategory,department
The noise levels in our factory exceed safe limits and no ear protection is provided. I work at Prairie Food Processing in the textile industry. I have been working as a security guard for 4.5 years. I recently relocated to this city for this job.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
"The company calculated my gratuity based on basic pay only, not total emoluments. I work at Prairie Food Processing in the automotive industry. I have been working as a medical representative for 7 years. This is happening in our Ahmedabad branch/office/factory.",Social Security Concerns,Maternity benefit delays,Ministry of Women and Child Development
"The construction site lacks proper scaffolding and fall protection equipment. I work at Tropical Beverages in the entertainment industry. When inspections occur, the company temporarily improves conditions.",Unsafe Working Conditions,Unhygienic facilities,Municipal Corporation Health Department
I face discrimination because I support a different political party than management. I work at Alpine Adventures in the insurance industry. I have been working as a business analyst for 3 years. This is happening in our Thiruvananthapuram branch/office/factory.,Discrimination,Gender discrimination,National Commission for Women
"As an LGBTQ+ individual, I face daily harassment and isolation at work. I work at Metro Textiles in the agriculture industry. I have been working as a warehouse manager for 3 years.",Discrimination,Sexual harassment,Internal Complaints Committee/Local Complaints Committee
"After my marriage, I was denied field assignments assuming I can't travel. I work at Alpine Adventures in the healthcare industry. I have been working as a administrative assistant for 6 years. This is happening in our Kochi branch/office/factory. I recently relocated to this city for this job. There's a significant pay gap between different groups doing identical work.",Discrimination,Religious discrimination,National Commission for Minorities
I'm forced to attend company events that conflict with my personal beliefs. I work at RedBrick Consultancy in the banking industry. This is happening in our Indore branch/office/factory. There have been previous complaints against the same individual/group.,Workplace Harassment,Character defamation,Local Police Station
"After a workplace accident, my compensation claim has been pending for months. I work at Greenfield Agro in the media industry.",Social Security Concerns,Retirement benefit disputes,Employees Provident Fund Organisation
There are no emergency evacuation drills or protocols in place. I work at Tropical Beverages in the textile industry. I have been working as a security guard for 2.5 years. This is happening in our Jammu branch/office/factory.,Unsafe Working Conditions,No emergency protocols,Ministry of Labour and Employment - Industrial Relations Division
"After a workplace injury, I was denied paid medical leave. I have been working as a software developer for 2.5 years. I am a senior citizen close to retirement.",Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
"During COVID-19 lockdown, we were abandoned without any support. I work at Global Solutions in the healthcare industry. We face restrictions on movement and communication with family.",Migrant Worker Issues,Local authority harassment,Ministry of Home Affairs
My salary calculation doesn't include the allowances mentioned in my offer letter. I work at Moonlight Entertainment in the insurance industry. I have been working as a regional sales manager for 20 years. The issue has affected my ability to pay rent and bills.,Wage Issues,Bonus payment issues,Ministry of Labour and Employment - Wage Division
I'm charged excessive rent knowing I have limited housing options as a migrant. I work at Sunshine Apparels in the hospitality industry. I have been working as a graphic designer for 4.5 years. This is happening in our Tiruchirappalli branch/office/factory. I previously worked abroad but returned to India for family reasons.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
"After informing about my pregnancy, I was removed from important projects. I work at GoldenGate Software in the construction industry. I have been working as a social media manager for 20 years. This is happening in our Bhopal branch/office/factory. There are documented differences in how different groups are evaluated.",Discrimination,Gender discrimination,National Commission for Women
I was humiliated in front of clients for a minor mistake. This is happening in our Panaji branch/office/factory. I am a fresh graduate in my first job.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
The company has not paid the annual bonus as required by law. I work at RedBrick Consultancy in the education industry. I have been working as a machine operator for 1.5 years. This is happening in our Surat branch/office/factory.,Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
The job advertisement explicitly mentioned they prefer candidates from certain communities. I work at Global Solutions in the agriculture industry. I have specialized skills in my field but face exploitation. People from my background are consistently assigned menial tasks.,Discrimination,Hiring bias,Ministry of Labour and Employment - Industrial Relations Division
I was laid off but haven't received unemployment allowance as promised. I have been working as a administrative assistant for 1 years. I am the sole breadwinner in my family. I've submitted all required documentation multiple times.,Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
The company has not paid the annual bonus as required by law. I work at Eastern Electronics in the telecommunications industry. I have been working as a branch manager for 3 years. This is happening in our Jammu branch/office/factory.,Wage Issues,Bonus payment issues,Ministry of Labour and Employment - Wage Division
I was transferred to a remote location after filing a complaint. I work at ABC Manufacturing in the manufacturing industry. I have been working as a data entry operator for 4 years.,Labor Rights Violations,No appointment letter,Ministry of Labour and Employment - Industrial Relations Division
Local authorities have issues verifying my identity as my documents are in my native language. I have been working as a project coordinator for 3 years.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Wage Division
My supervisor makes inappropriate comments and touches female employees. I work at GoldenGate Software in the pharmaceutical industry. I have been working as a quality control inspector for 25 years. This is happening in our Gwalior branch/office/factory. I am supporting my elderly parents with my income. Promotions consistently go to employees from certain backgrounds only.,Discrimination,Language discrimination,Ministry of Labour and Employment - Industrial Relations Division
My employer has been delaying the variable pay component for 45 days. I work at Sunshine Apparels in the education industry. I have been working as a procurement officer for 10 years. The company is profitable yet refuses to pay fair wages.,Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
False rumors about my character are being spread in the workplace. This is happening in our Vijayawada branch/office/factory. I have medical conditions that require regular treatment. I've had to take medical leave due to stress from the harassment.,Workplace Harassment,Threatening behavior,Local Police Station and Ministry of Labour
Co-workers have created offensive social media groups targeting me. I work at Eastern Electronics in the entertainment industry. This is happening in our Shillong branch/office/factory. I am supporting my elderly parents with my income.,Workplace Harassment,Retaliation for complaints,Ministry of Labour and Employment - Industrial Relations Division
My employer has been delaying the variable pay component for 6 weeks. I work at XYZ Technologies in the mining industry. This is happening in our Jalandhar branch/office/factory.,Wage Issues,Bonus payment issues,Ministry of Labour and Employment - Wage Division
My health insurance claim was rejected without proper explanation. I work at CloudNine IT Solutions in the textile industry. I have been working as a regional sales manager for 2.5 years. The company is using outdated forms and processes for benefits.,Social Security Concerns,Maternity benefit delays,Ministry of Women and Child Development
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. This is happening in our Mangalore branch/office/factory. I have been working in this industry for over a decade.",Discrimination,Gender discrimination,Ministry of Labour and Employment - Industrial Relations Division
I'm charged excessive rent knowing I have limited housing options as a migrant. I work at Rainbow Plastics in the education industry. I have been working as a HR coordinator for 5 years. This is happening in our Agra branch/office/factory.,Migrant Worker Issues,Remittance challenges,Ministry of Finance
Electrical wiring is exposed and has caused several shock incidents. I work at Arctic Cold Storage in the mining industry. This is happening in our Bhubaneswar branch/office/factory. I have been working in this industry for over a decade.,Unsafe Working Conditions,Building structural issues,Municipal Corporation Building Department
"As a person with disability, the company has not provided reasonable accommodations. I work at XYZ Technologies in the healthcare industry. I have been working as a forklift operator for 6 years.",Discrimination,Disability discrimination,Chief Commissioner for Persons with Disabilities
Colleagues from a particular state get better assignments and growth opportunities. I work at Westland Automobiles in the construction industry. I have been working as a nurse for 6 years.,Discrimination,Hiring bias,Ministry of Labour and Employment - Industrial Relations Division
I cannot access my UAN account despite multiple attempts. I work at RedBrick Consultancy in the insurance industry. I have been working as a marketing specialist for 15 years.,Social Security Concerns,Unemployment allowance issues,Ministry of Labour and Employment - Social Security Division
The paternity leave application was rejected without valid reasons. I work at Thunder Power Generation in the construction industry. This is happening in our Kochi branch/office/factory. I am a person with physical disability.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
I was promised a commission of 15% but only received 4%. I work at SilverLine Railways in the automotive industry. I have been working as a content writer for 8 years. This is happening in our Jalandhar branch/office/factory.,Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
I've been working as a contractor for 5 years but haven't been regularized. I work at Desert Oil Exploration in the logistics industry. I have been working as a marketing specialist for 12 years. There is no grievance redressal system available to workers.,Labor Rights Violations,Forced overtime,Ministry of Labour and Employment - Wage Division
"Despite being eligible, I haven't received the statutory bonus for two years. I work at Eastern Electronics in the shipping industry. This is happening in our Mangalore branch/office/factory. I have been working in this industry for over a decade.",Social Security Concerns,Insurance claim rejection,Insurance Regulatory and Development Authority
I'm assigned tasks outside my job description as a form of punishment. I work at Datatech Services in the mining industry. I have been working as a marketing specialist for 20 years. This is happening in our Vadodara branch/office/factory.,Workplace Harassment,Character defamation,Local Police Station
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. This is happening in our Varanasi branch/office/factory.",Discrimination,Language discrimination,Ministry of Labour and Employment - Industrial Relations Division
I'm forced to attend company events that conflict with my personal beliefs. I have been working as a branch manager for 1 years. I've had to take medical leave due to stress from the harassment.,Workplace Harassment,Character defamation,Local Police Station
I was mocked and excluded because I don't speak the local language fluently. I work at Starway Hotels in the retail industry. I have been working as a marketing specialist for 2.5 years. I am a senior citizen close to retirement.,Discrimination,Regional bias,National Commission for Backward Classes
Chemical spills are common and no cleanup protocols are followed. I work at Tsunami Shipping in the automotive industry. I have been working as a customer service representative for 7 years.,Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
"Despite working on national holidays, I haven't received double wages as per law. I have been working as a finance analyst for 1 years. This is happening in our Amritsar branch/office/factory. The management recently gave themselves bonuses while delaying our payments.",Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
"The company calculated my gratuity based on basic pay only, not total emoluments. I work at Arctic Cold Storage in the IT industry. I have been working as a welder for 7 years. This is happening in our Varanasi branch/office/factory.",Social Security Concerns,Gratuity calculation disputes,Ministry of Labour and Employment - Industrial Relations Division
False rumors about my character are being spread in the workplace. I work at Greenfield Agro in the insurance industry. I have been working as a security guard for 7 years.,Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
My supervisor has threatened to ruin my career if I don't comply with demands. This is happening in our Pune branch/office/factory. I've had to take medical leave due to stress from the harassment.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
ESI contributions are being deducted but I'm unable to avail medical benefits. I work at Arctic Cold Storage in the retail industry. I have been working as a branch manager for 25 years.,Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. I work at Prairie Food Processing in the IT industry. I have been working as a sales executive for 12 years. This is happening in our Tiruchirappalli branch/office/factory.",Discrimination,Pregnancy discrimination,National Commission for Women
"My employer is paying below the minimum wage of 11,500 rupees in Telangana. I have been working as a forklift operator for 1 years.",Wage Issues,Gratuity payment problems,Ministry of Labour and Employment - Wage Division
I'm pressured to run personal errands for my superior during work hours. I work at IronStrength Steel in the banking industry. I have been working as a marketing specialist for 15 years. This is happening in our Lucknow branch/office/factory. I have medical conditions that require regular treatment. Witnesses are afraid to come forward due to fear of retaliation.,Workplace Harassment,Public humiliation,Ministry of Labour and Employment - Industrial Relations Division
My contract states a higher wage than what I'm receiving monthly. I work at Tsunami Shipping in the agriculture industry. The issue has affected my ability to pay rent and bills.,Wage Issues,Gratuity payment problems,Ministry of Labour and Employment - Wage Division
My supervisor constantly shouts and uses abusive language towards me. I work at Starway Hotels in the shipping industry. This is happening in our Itanagar branch/office/factory. I am a single parent supporting two children.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
"Workers are not provided with safety helmets, gloves or boots in our factory. I have been working as a quality control inspector for 4.5 years. I am supporting my elderly parents with my income.",Unsafe Working Conditions,Ergonomic hazards,Directorate General of Factory Advice Service and Labour Institutes
I'm being paid in cash without any salary slip or documentation. I work at ABC Manufacturing in the aviation industry. I have been working as a customer service representative for 1 years. This is happening in our Thiruvananthapuram branch/office/factory. I am a woman working in a male-dominated field.,Wage Issues,Contract wages dispute,Ministry of Labour and Employment - Wage Division
Local police harass us migrant workers during identity checks. I work at Starway Hotels in the agriculture industry. This is happening in our Bhopal branch/office/factory. I am the sole breadwinner in my family.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
The company doesn't grant national and festival holidays as per law. I work at Greenfield Agro in the construction industry. This is happening in our Tiruchirappalli branch/office/factory. I am from a rural background trying to establish myself in an urban job market. My employment contract is different from actual working conditions.,Labor Rights Violations,Denial of leave,Ministry of Labour and Employment - Industrial Relations Division
The construction site lacks proper scaffolding and fall protection equipment. I work at CopperTech Engineering in the banking industry. I have been working as a marketing specialist for 10 years. Management ignores safety concerns to maintain production schedules.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
There are no emergency evacuation drills or protocols in place. I am a fresh graduate in my first job.,Unsafe Working Conditions,Inadequate fire safety,State Fire Department and Labour Department
The paternity leave application was rejected without valid reasons. I work at Arctic Cold Storage in the telecommunications industry. I have been working as a call center agent for 10 years. This is happening in our Panaji branch/office/factory. I am the sole breadwinner in my family.,Social Security Concerns,Unemployment allowance issues,Ministry of Labour and Employment - Social Security Division
My sick leave application was rejected despite having medical certificate. I work at SilverLine Railways in the shipping industry. I have been working as a call center agent for 2 years.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
I'm being paid significantly less than the industry standard for my position. I work at Tropical Beverages in the education industry. I have been working as a electrician for 3 years.,Wage Issues,Gratuity payment problems,Ministry of Labour and Employment - Wage Division
Management threatened employees who tried to form a workers' union. I work at Sunrise Industries in the oil and gas industry.,Labor Rights Violations,Forced overtime,Ministry of Labour and Employment - Industrial Relations Division
Female employees are being paid less than male employees for the same work. I work at Westland Automobiles in the real estate industry. I have been working as a production manager for 4 years. I have kept records of all my working hours and payment discrepancies.,Wage Issues,ESI contribution problems,Employees State Insurance Corporation
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. I work at Rainbow Plastics in the mining industry. I have been working as a supervisor for 7 years. Promotions consistently go to employees from certain backgrounds only.",Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
The factory has poor ventilation with excessive dust and smoke. This is happening in our Gwalior branch/office/factory. I am supporting my siblings' education with my income. Required safety certifications are outdated or falsified.,Unsafe Working Conditions,No proper ventilation,Directorate General of Factory Advice Service and Labour Institutes
My supervisor makes inappropriate comments and touches female employees. I work at Global Solutions in the entertainment industry. I have been working as a call center agent for 10 years. I am supporting my elderly parents with my income. Promotions consistently go to employees from certain backgrounds only.,Discrimination,Pregnancy discrimination,National Commission for Women
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at Metro Textiles in the aviation industry. I have been working as a machine operator for 8 years. This is happening in our Ranchi branch/office/factory. Our interstate worker benefits are not being provided.,Migrant Worker Issues,Cultural insensitivity,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My boss threatened to fire me if I didn't submit a resignation letter. I have been working as a quality control inspector for 3 years. This is happening in our Kochi branch/office/factory. I am the sole breadwinner in my family.,Labor Rights Violations,Union formation prevention,Ministry of Labour and Employment - Industrial Relations Division
My supervisor makes inappropriate comments and touches female employees. I work at CopperTech Engineering in the mining industry. I have been working as a graphic designer for 25 years. This is happening in our Bangalore branch/office/factory. Important opportunities are only shared with select groups.,Discrimination,Appearance-based discrimination,Ministry of Labour and Employment - Industrial Relations Division
"After a workplace injury, I was denied paid medical leave. I have specialized skills in my field but face exploitation. Despite automatic deductions, benefits are not being properly credited.",Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
"During summer, the temperature exceeds 45°C with no cooling systems. I work at Volcano Cement in the shipping industry. I have been working as a electrician for 12 years.",Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
We are forced to work in unnatural positions causing severe back problems. I work at Alpine Adventures in the IT industry. I have been working as a plumber for 1.5 years.,Unsafe Working Conditions,Inadequate fire safety,State Fire Department and Labour Department
"After retirement, I'm facing issues accessing my provident fund benefits. I work at Breeze Airlines in the media industry. I have been working as a software developer for 2.5 years. I am a fresh graduate in my first job. I discovered the discrepancy when trying to claim benefits.",Social Security Concerns,NPS contribution problems,Pension Fund Regulatory and Development Authority
I've been working as a contractor for 5 years but haven't been regularized. I work at GoldenGate Software in the pharmaceutical industry. I have been working as a business analyst for 3 years. This is happening in our Madurai branch/office/factory. I previously worked abroad but returned to India for family reasons.,Labor Rights Violations,Apprentice exploitation,Board of Apprenticeship Training
The housing provided to us migrant workers is overcrowded and lacks basic facilities. I am a woman working in a male-dominated field. We were recruited through agents who made false promises.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Industrial Relations Division
I was humiliated in front of clients for a minor mistake. I work at Westland Automobiles in the agriculture industry. I have been working as a nurse for 10 years. The harassment increased after I declined personal advances/requests.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
We are forced to work for 14-16 hours daily without proper breaks. I work at RedBrick Consultancy in the logistics industry. I have been working as a HR coordinator for 4.5 years. This is happening in our Bhopal branch/office/factory.,Unsafe Working Conditions,Noise pollution,State Pollution Control Board
We have no access to healthcare as our home state medical cards aren't accepted here. I have been working as a receptionist for 4 years.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
Electrical wiring is exposed and has caused several shock incidents. I work at Mountain Mining in the education industry. I have been working as a administrative assistant for 2.5 years. The company prioritizes cost-cutting over worker safety.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
There is no access to clean drinking water in our factory premises. I have been working as a project coordinator for 6 years.,Unsafe Working Conditions,Building structural issues,Municipal Corporation Building Department
I was laid off but haven't received unemployment allowance as promised. I work at Forest Wood Products in the IT industry. I have been working as a production manager for 6 years.,Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
The management encourages a toxic environment where employees are pitted against each other. I work at Starway Hotels in the pharmaceutical industry. I have been working as a team leader for 4.5 years. I am working while pursuing higher education.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
The office building has visible cracks and leakages creating unsafe conditions. I work at Datatech Services in the aviation industry. This is happening in our Dehradun branch/office/factory. Management ignores safety concerns to maintain production schedules.,Unsafe Working Conditions,Noise pollution,State Pollution Control Board
I cannot access my UAN account despite multiple attempts. I work at Greenfield Agro in the logistics industry. I have been working as a marketing specialist for 2 years. This is happening in our Vadodara branch/office/factory. I have been working in this industry for over a decade.,Social Security Concerns,ESIC benefit denial,Employees State Insurance Corporation
My employer has confiscated my passport and educational certificates. I work at Thunder Power Generation in the telecommunications industry. I have been working as a branch manager for 15 years.,Labor Rights Violations,Denial of statutory holidays,Ministry of Labour and Employment - Industrial Relations Division
"As a north-eastern employee, I face stereotyping and prejudice from colleagues. This is happening in our Panaji branch/office/factory. I am a woman working in a male-dominated field.",Discrimination,Promotion bias,Ministry of Labour and Employment - Industrial Relations Division
Toilet facilities are extremely dirty and unusable in our workplace. I work at Metro Textiles in the automotive industry. I have been working as a HR coordinator for 8 years.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
The hospital refused to accept my ESIC card for treatment. I work at Savannah Agriculture in the banking industry. This is happening in our Guwahati branch/office/factory.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
"As a contract worker, I don't receive any social security benefits. I work at Thunder Power Generation in the agriculture industry. I have been working as a content writer for 9 years. I have been working in this industry for over a decade.",Social Security Concerns,Medical reimbursement delays,Employees State Insurance Corporation
We are forced to work for 14-16 hours daily without proper breaks. I work at Coastal Shipping in the logistics industry. I have been working as a procurement officer for 1 years. This is happening in our Vadodara branch/office/factory. I am a person with physical disability.,Unsafe Working Conditions,Building structural issues,Municipal Corporation Building Department
There is no access to clean drinking water in our factory premises. I work at GoldenGate Software in the construction industry. I am the sole breadwinner in my family.,Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
I'm forced to work overtime without my consent or extra payment. I have been working as a logistics coordinator for 1 years. This is happening in our Nashik branch/office/factory. I am supporting my siblings' education with my income.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
The lighting is so poor that it's causing eye strain and accidents. I work at Coastal Shipping in the entertainment industry. I have been working as a supervisor for 4.5 years. This is happening in our Bhubaneswar branch/office/factory.,Unsafe Working Conditions,Building structural issues,Municipal Corporation Building Department
Chemical spills are common and no cleanup protocols are followed. I work at Tropical Beverages in the media industry. I have been working as a customer service representative for 6 years. Management ignores safety concerns to maintain production schedules.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
My salary calculation doesn't include the allowances mentioned in my offer letter. I have been working as a production manager for 20 years.,Wage Issues,Illegal fine impositions,Ministry of Labour and Employment - Wage Division
The paternity leave application was rejected without valid reasons. This is happening in our Delhi branch/office/factory. I am a fresh graduate in my first job.,Social Security Concerns,Gratuity calculation disputes,Ministry of Labour and Employment - Industrial Relations Division
My contractor brought me here but now refuses to take responsibility for my employment. I work at Westland Automobiles in the entertainment industry. I have been working as a delivery personnel for 2.5 years.,Migrant Worker Issues,Home state leave refusal,Ministry of Labour and Employment - Inter-State Migrant Workers Division
The company monitors personal communications and break time activities excessively. I work at Arctic Cold Storage in the media industry. I have been working as a network administrator for 12 years. This is happening in our Coimbatore branch/office/factory. Witnesses are afraid to come forward due to fear of retaliation.,Workplace Harassment,Exclusion from meetings,Ministry of Labour and Employment - Industrial Relations Division
I'm an inter-state migrant worker without proper documentation provided by my employer. I work at Mountain Mining in the agriculture industry. I have been working as a call center agent for 20 years. I am a person with physical disability.,Migrant Worker Issues,Cultural insensitivity,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I haven't been able to bring my family due to lack of family accommodation provisions. I work at Lightning Fast Couriers in the telecommunications industry. I have been working as a branch manager for 3 years. I previously worked abroad but returned to India for family reasons.,Migrant Worker Issues,Return transportation denial,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My health insurance claim was rejected without proper explanation. I work at CopperTech Engineering in the manufacturing industry. I have been working as a finance analyst for 20 years. This is happening in our Gwalior branch/office/factory.,Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
"After informing about my pregnancy, I was removed from important projects. I work at Moonlight Entertainment in the healthcare industry. This is happening in our Tiruchirappalli branch/office/factory.",Discrimination,Regional bias,National Commission for Backward Classes
"After filing a complaint, I was transferred to a remote location as punishment. I work at Coastal Shipping in the shipping industry. I am from a rural background trying to establish myself in an urban job market.",Workplace Harassment,Privacy violations,Ministry of Electronics and Information Technology
I was fired without any notice or explanation after working for 12 years. I have been working as a HR coordinator for 25 years. My employment contract is different from actual working conditions.,Labor Rights Violations,Forced resignation,Ministry of Labour and Employment - Industrial Relations Division
I'm charged excessive rent knowing I have limited housing options as a migrant. I work at Canyon Minerals in the textile industry.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
I'm forced to work overtime without my consent or extra payment. I work at Datatech Services in the shipping industry. I have been working as a sales executive for 15 years. This is happening in our Jalandhar branch/office/factory. I am a person with physical disability.,Labor Rights Violations,Denial of leave,Ministry of Labour and Employment - Industrial Relations Division
My contract states a higher wage than what I'm receiving monthly. I work at Desert Oil Exploration in the shipping industry. I have been working as a welder for 7 years. This is happening in our Panaji branch/office/factory.,Wage Issues,Overtime payment issues,Ministry of Labour and Employment - Wage Division
My employer has confiscated my passport and educational certificates. I work at Coastal Shipping in the hospitality industry. I have been working as a nurse for 8 years. This is happening in our Imphal branch/office/factory. Job descriptions are intentionally vague to assign unlimited responsibilities.,Labor Rights Violations,Illegal termination,Labour Commissioner Office
Co-workers have created offensive social media groups targeting me. I work at Moonlight Entertainment in the logistics industry. I have been working as a forklift operator for 10 years. This is happening in our Bhubaneswar branch/office/factory. I switched careers recently and face discrimination due to it. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Verbal abuse,Ministry of Labour and Employment - Industrial Relations Division
I was denied promotion because of my gender despite having better performance records. I work at ABC Manufacturing in the textile industry. I have been working as a customer service representative for 6 years.,Discrimination,Regional bias,National Commission for Backward Classes
The paternity leave application was rejected without valid reasons. I work at Greenfield Agro in the education industry. This is happening in our Ranchi branch/office/factory. I recently relocated to this city for this job. I discovered the discrepancy when trying to claim benefits.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
Toilet facilities are extremely dirty and unusable in our workplace. I work at Prairie Food Processing in the banking industry. I have been working as a accountant for 3 years.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
"Workers are not provided with safety helmets, gloves or boots in our factory. I work at RedBrick Consultancy in the telecommunications industry. I have been working as a social media manager for 15 years. This is happening in our Nashik branch/office/factory. I am a contractual worker hoping for permanent employment.",Unsafe Working Conditions,Noise pollution,State Pollution Control Board
Machine guards are removed to speed up production causing accidents. I work at Volcano Cement in the education industry. This is happening in our Madurai branch/office/factory. I am supporting my siblings' education with my income.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
Managers check our bags and personal belongings without consent everyday. I have been working as a customer service representative for 7 years. I am supporting my elderly parents with my income.,Workplace Harassment,Privacy violations,Ministry of Electronics and Information Technology
My employer deducts PF from my salary but doesn't deposit it in my PF account. I work at Global Solutions in the oil and gas industry. I have been working as a machine operator for 20 years. Other companies in the same area pay much better for similar work.,Wage Issues,Delayed salary payments,Ministry of Labour and Employment - Wage Division
The management encourages a toxic environment where employees are pitted against each other. I work at CloudNine IT Solutions in the mining industry. I have been working as a branch manager for 3 years.,Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
My employer has confiscated my passport and educational certificates. I work at Sunrise Industries in the pharmaceutical industry. This is happening in our Indore branch/office/factory.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
I was mocked and excluded because I don't speak the local language fluently. This is happening in our Vadodara branch/office/factory.,Discrimination,Appearance-based discrimination,Ministry of Labour and Employment - Industrial Relations Division
"The company deducted 15,000 rupees from my salary without explanation. I work at Sunrise Industries in the logistics industry. This is happening in our Itanagar branch/office/factory.",Wage Issues,PF deduction issues,Employees Provident Fund Organisation
I'm forced to attend company events that conflict with my personal beliefs. I work at Tropical Beverages in the real estate industry. I have been working as a welder for 9 years.,Workplace Harassment,Character defamation,Local Police Station
My salary calculation doesn't include the allowances mentioned in my offer letter. I work at Desert Oil Exploration in the mining industry. This is happening in our Visakhapatnam branch/office/factory. Our wages have remained stagnant despite inflation and rising costs.,Wage Issues,Contract wages dispute,Ministry of Labour and Employment - Wage Division
I was promised a commission of 5% but only received 7%. I work at Lightning Fast Couriers in the mining industry. I have been working as a project coordinator for 1 years. This is happening in our Visakhapatnam branch/office/factory. I have medical conditions that require regular treatment.,Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
There is no access to clean drinking water in our factory premises. I work at Tropical Beverages in the oil and gas industry. I have been working as a software developer for 10 years. Accident reports are either not filed or manipulated.,Unsafe Working Conditions,No proper ventilation,Directorate General of Factory Advice Service and Labour Institutes
My health insurance claim was rejected without proper explanation. I work at Pride Construction in the mining industry. I have been working as a security guard for 5 years. This is happening in our Pune branch/office/factory. Different departments keep redirecting me without solutions.,Social Security Concerns,Medical reimbursement delays,Employees State Insurance Corporation
My supervisor makes inappropriate comments and touches female employees. I have been working as a accountant for 2 years. I was directly told that people 'like me' don't get promoted here.,Discrimination,Gender discrimination,National Commission for Women
The paternity leave application was rejected without valid reasons. I work at Tropical Beverages in the pharmaceutical industry. This is happening in our Amritsar branch/office/factory. Different departments keep redirecting me without solutions.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
I have not received my salary for 100 days. My employer keeps delaying payments. I have been working as a content writer for 4.5 years. This is happening in our Mangalore branch/office/factory. I previously worked abroad but returned to India for family reasons. Other companies in the same area pay much better for similar work.,Wage Issues,Unpaid leave deductions,Ministry of Labour and Employment - Wage Division
False rumors about my character are being spread in the workplace. I have been working as a sales executive for 20 years.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
"Despite working on national holidays, I haven't received double wages as per law. I work at Prairie Food Processing in the retail industry. This is happening in our Guwahati branch/office/factory.",Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
My employer deducts PF from my salary but doesn't deposit it in my PF account. I have been working as a warehouse manager for 1 years. This is happening in our Imphal branch/office/factory. I have education loans to repay which makes this situation critical.,Wage Issues,Overtime payment issues,Ministry of Labour and Employment - Wage Division
